review_text,label_kualitas_produk,label_harga,label_kualitas_pengiriman,label_kepuasan_pelanggan,source
"Jujur aja, Pengiriman cepat dan produk sampai dalam kondisi sempurna. FYI, Parfumnya lumayan, bisa dipakai sehari-hari. FYI, Harga sangat bersahabat, ramah di kantong Terima kasih.",2,0,0,0,synthetic
"Harus dibilang, Barang datang dalam kondisi rusak, packaging tidak aman. Dan Parfumnya palsu kayaknya, wanginya beda jauh dari asli. Dan Sangat terjangkau, bisa beli beberapa varian sekaligus Terima kasih.",1,0,1,1,synthetic
"Cocok Untuk:daily Performa:bagus Tekstur:cair Packing aman, dpt free vanilla clouds nya enak ternyata wanginya tp 2 tester varian baru agak aneh wanginya, si enchanted ini wanginya seger buat daily enak kyknya, ak udh punya matcha & black opera, marii kita coba enchanted ini bbrp hr kedepan , thanks ya",0,0,0,0,original
"Menurut saya, Barang lecet dan penyok karena packing tidak baik. Btw Botol cantik dan elegan, parfumnya enak banget dipakai. Btw Happy dan tidak menyesal, top banget. Btw Harganya pas banget, tidak terlalu mahal tidak terlalu murah Terima kasih.",0,0,1,0,synthetic
"Setelah dicoba: Kualitas kelas atas, wanginya soft dan feminin. Dan Pengiriman cepat sekali, hari ini order besok sudah sampai. Dan Sangat kecewa, tidak akan beli lagi",0,0,0,1,synthetic
"Menurut saya, Bau parfumnya aneh, tidak seperti gambar. Oh ya, Barang lecet dan penyok karena packing tidak baik. Oh ya, Harga biasa saja untuk parfum lokal. Oh ya, Netral aja perasaannya, tidak istimewa 5 bintang layak!",1,2,1,2,synthetic
"REVIEW JUJUR: HARGANYA SEGITU YA, MASIH BISA DITERIMA. SANGAT PUAS, REKOMENDASIKAN KE SEMUA TEMAN SEMOGA BERGUNA.",2,2,0,0,synthetic
"Performa:packaging oke. Lucu Cocok Untuk:parfum sehari hari Packaging lucu. Maaf bgt karena lg flu berat blm bs mencium dg baik. Sekilas penciuman enak parfumnya. Nanti di review lagi kalo udh sehat hihi. Sukses terus.???? Oia. Dpt free secret prodcut 3,5ml wanginya manis, clam sekilas ku cium ????",0,0,0,0,original
Aroma:flora tapi seger Tekstur:cari Kegunaan:bisa bgt untuk indoor atau outdoor Enchanted ini wanginya segar cocok untuk indoor atau outdoor. Ini wangi yang paling aman untuk semua suasana. Terimakasih ????????,0,0,0,0,original
ini wanginya mantap soft seger mewah gituu wangi nya bener2 susah di deskripsi pokoknyaa suka banget sm wanginya packingnya jg cantik bangettttt makasih buat free edt sm testernyaa,0,0,0,0,original
Ga ngerti lg... Puas bgt sama packaging nya sama wanginya...,0,0,0,0,original
"Jujur aja, Harga wajar, standar pasaran, Tidak akan rekomendasikan ke siapapun, Parfumnya lumayan, bisa dipakai sehari-hari Sekian review dari saya.",2,2,2,1,synthetic
"Real review: Cost-effective banget, cocok untuk pemakaian rutin. Oh ya, Parfum ini beneran enak banget wanginya, tahan lama. Oh ya, Kecewa total, tidak ada niat beli lagi Semoga berguna.",0,0,2,1,synthetic
"Packaging nya kece parah, trus botolnya cantik sihh keliatan anggunly, kalau wanginya udah pernah nyoba dan cocok bgt, tahan lama juga????",0,0,0,0,original
"Terus terang, Produk rusak saat diterima, kualitas kontrol buruk. Dari segi Menyesal banget, uang terbuang sia-sia. Dari segi Kalau harga segitu harusnya kualitasnya lebih baik GBU!",1,1,2,1,synthetic
"Harus dibilang, Harganya standar, tidak murah tidak mahal. Soal Lumayan lah, masih bisa diterima. Soal Produknya mantap banget, wanginya fresh dan tahan lama. Soal Packaging buruk, isi parfum sudah tumpah sebagian Kecewa.",0,2,1,2,synthetic
"Terus terang, Wangi cukup enak, tapi tidak sampai wow. Biasa aja, mungkin beli lagi mungkin tidak. Pengiriman mantap, produk terlindungi dengan baik",2,1,0,2,synthetic
"Setelah dicoba: Biasa aja, mungkin beli lagi mungkin tidak. Dari segi Botol bocor karena packing tidak memadai Kecewa.",1,2,1,2,synthetic
"terus terang, pembeli kecewa, tidak akan kembali berbelanja. parfumnya wangi banget, tahan lama seharian. kurir lambat dan tidak responsif, kecewa tidak direkomendasikan.",0,1,1,1,synthetic
"Terus terang, Beli lagi pasti, produk ini tidak mengecewakan. Oh ya, Harganya masuk akal banget untuk parfum lokal berkualitas Terima kasih.",0,0,0,0,synthetic
"Harus dibilang, Packing super aman, dikemas dengan bubble wrap tebal. Ekonomis banget, tidak menguras kantong",1,0,0,0,synthetic
"Jujur aja, Parfumnya bagus, packaging mewah, cocok buat hadiah. Untuk Happy dan puas, tidak sabar coba varian lain",0,0,0,0,synthetic
"Aroma:ini wanginya kaya bunga2 Tekstur:pass Kegunaan:cocok untuk pagi malam dll makasih ya dikasih tester Zora, kalau zora manis kalau enchanted ini manis fresh teruss 100ml aku dapat harga 166k",0,0,0,0,original
"Nyesel banget beli ini, buang-buang uang. Untuk Tidak cocok di kantong, harganya nggak masuk akal. Untuk Kurir lambat dan tidak responsif, kecewa. Untuk Kualitas parfumnya mengecewakan, wanginya cepat hilang",1,1,1,1,synthetic
"Yang ditunggu tunggu datang jugaaa, yaampun enak banget wanginya sangat sukaaa",0,0,0,0,original
"Setelah dicoba: Aroma parfumnya premium, seperti parfum mahal padahal terjangkau. Btw Packing jelek banget, parfum sampai dalam kondisi pecah. Btw Harganya murah, kualitas tidak murahan Semoga berguna.",0,0,1,1,synthetic
"Kalau kata saya, Pengiriman sesuai ekspektasi, biasa saja. Harganya masuk akal banget untuk parfum lokal berkualitas. Aromanya mewah dan enak banget, beneran suka. Biasa aja, mungkin beli lagi mungkin tidak Semoga review ini bermanfaat!",0,0,2,2,synthetic
"Cocok Untuk:segala occasion Tekstur:floral, fruity, yang makin dicium makin enak Performa:sangat bagus Awalnya aku agak b aja ama wanginya, tapi wah makin dicium makin enak. Parfum Mykonos bener2 nggak pernah mengecewakan, mau baunya bukan bau lu, tetep aja wanginya bisa lu pake :D",0,0,0,0,original
"Pesan dr tgl 24april, dan barang sampai tgl 4mei krna ini Pre order. Packing aman, bubble wrap tebal jd parfum gak ada bocor, kemasan parfum mewah ?? Baru pertama kali nyoba parfum mykonos dan smg cocok sm wanginya ?? dpt tester matcha latte pula ??",0,0,0,0,original
"Tekstur:Bit oily, one spray is already beautiful ?? Cocok Untuk:Daily use Super super satisfied and THE BEST BLIND BUY I'VE EVER PURCHASED. Truly my scent ??",0,0,0,0,original
"Menurut saya, Cost-effective banget, cocok untuk pemakaian rutin. Oh ya, Kurir tidak amanah, barang ditaruh sembarangan Mantap pokoknya!",0,0,1,1,synthetic
"Real review: Tidak puas sama sekali, rugi waktu dan uang. FYI, Kemasan mewah, kualitas produk tidak mengecewakan sama sekali. FYI, Worth it banget, harga murah tapi kualitas oke",0,0,2,1,synthetic
"Standar aja, bisa beli lagi kalau ada diskon. Sementara Pengiriman buruk, packing tidak standar Semoga review ini bermanfaat!",1,2,1,2,synthetic
"Happy dan puas, tidak sabar coba varian lain. Untuk Produk standar, tidak ada yang spesial",2,0,0,0,synthetic
"Performa:baik Cocok Untuk:daily Tekstur:cair Wanginya enaaaak bgt. fresh tapi manis, manisnya ga bikin eneg atau pusing. lama kelamaan jadi kayak ada wangi bedak bayinya. ketahanan lumayan, kalau di baju ga terlalu kecium tapi di kulit lumayan tahan lama. Packaginta bagus banget mewah botolnya juga. suka banget pokoknya..",0,0,1,0,original
Aroma:wanginya enak banget perpaduan seger dan manis Tekstur:tekstur yg bagus Kegunaan:cocok digunakan sebagai parfume terima kasih,0,0,0,0,original
"Barangnya benar-benar memuaskan, karena harga yang ditawarkan sangat terjangkau dan kualitasnya oke",0,0,0,0,original
"Packing biasa, cukup aman. Dari segi Wangi cukup enak, tapi tidak sampai wow Recommended!",2,2,2,2,synthetic
"Kalau kata saya, Pengiriman buruk, packing tidak standar. Sedangkan Sangat tidak puas, komplain tapi tidak direspons. Sedangkan Wanginya harum, botolnya keren dan premium banget. Sedangkan Kemahalan banget, mending beli merek lain",0,1,1,1,synthetic
"Terus terang, Tidak worth it, harga segitu harusnya dapat yang lebih bagus, Tidak akan rekomendasikan ke siapapun, Produk tidak original, kayak tiruan murahan",1,1,1,1,synthetic
"Cost-effective banget, cocok untuk pemakaian rutin. Btw Packing super aman, dikemas dengan bubble wrap tebal GBU!",1,0,0,2,synthetic
"Update: Beli lagi pasti, produk ini tidak mengecewakan. Tapi Parfumnya top markotop, aroma berkelas. Tapi Pengiriman mantap, produk terlindungi dengan baik. Tapi Harganya murah, kualitas tidak murahan",0,0,0,0,synthetic
"Jujur aja, Nyesel banget beli ini, buang-buang uang. Sedangkan Kemas dengan baik, pengiriman tidak mengecewakan. Sedangkan Aroma tidak sesuai foto, ternyata beda varian. Sedangkan Cost-effective banget, cocok untuk pemakaian rutin Recommended!",1,0,0,1,synthetic
"Wewangian:wangi yang segar banget kaya habis mandi, cocok buat yg kerja indoor maupun outdoor Tekstur:tekstur cair Daya tahan:baru pertama kali coba semoga awet lama Work it too blind buat versi aku??",0,0,0,0,original
"Review jujur: Kualitas produk cukup oke, sesuai harga. Sementara Sangat tidak puas, komplain tapi tidak direspons",2,2,2,1,synthetic
"Jujur aja, Harga tidak bersahabat, susah beli rutin. Untuk Kecewa berat, tidak sesuai ekspektasi. Untuk Sampai tepat waktu, packing cukup memadai. Untuk Botol bocor saat tiba, produk sudah tumpah separuh",1,1,2,1,synthetic
"Overall Packing super aman, dikemas dengan bubble wrap tebal, Kecewa berat, tidak sesuai ekspektasi, Harga tidak sesuai dengan kualitas yang didapat",1,1,0,1,synthetic
"Aroma:kayak abis mandi enak banget Tekstur:cair Kegunaan:parfum Baunyaa wangi bungaa tapi masih ada powdery nyaa, ga maniss dan ga nusuk bau nyaa",0,0,0,0,original
"Tekstur:oke Performa:oke Cocok Untuk:pengawi badan Alhamdulillah paketnya nyampe juga semoga selalu amanah ya penjual terima kasih Mantap parfume nya lucu, aman juga di kasih dus tambahan, bublee warp, box nya gemoyyyy ga kuat Wangina enak seger",0,0,0,0,original
"Pengalaman saya: Pembeli kecewa, tidak akan kembali berbelanja, Parfumnya kurang bagus, tidak sebanding dengan harganya, Parfum bocor karena packing tidak rapat, Terlalu kemahalan, tidak worth sama sekali Sekian review dari saya.",1,1,1,1,synthetic
"Tekstur:oily sedikit Performa:kesegalanya Cocok Untuk:cewe cowo oke I didn't expect this perfume to smell so good. Pas nyium pertama kali langsung melayang rasanya,definisi wangi mewah dan mahal. Mykonos always the best. Dan yang bikin aku tercengang lagi ini parfum wanginya tahan lama bangett. Best pokoknya?",0,1,1,0,original
Wewangian:fresh kek abis mandii Tekstur:nyamann Daya tahan:belum tahu mantap pokoknya parfum unisexx,0,0,0,0,original
"real review: harga kompetitif dibanding merek lain yang serupa. tapi beneran worth it banget, kualitas parfum sangat bagus. tapi packaging rapih dan aman, tidak ada kerusakan",0,0,0,1,synthetic
"Overall Kualitas bagus banget, beda sama parfum abal-abal. Tapi Packaging bagus, isinya aman tidak bocor. Tapi Tidak kecewa, malah lebih dari yang diharapkan. Tapi Harganya oke, tidak terlalu mahal Semoga berguna.",0,2,0,0,synthetic
"Aroma:Manis Floral, Sedikit Musky Tekstur:cair seperti parfume Kegunaan:12 jam sampai 1 hari aroma yang sangat enak untuk dipakai sepanjang hari",0,0,0,0,original
"Wangi bangett, sukak wanginyaaa.. akhirnya coba varian ini, soalnya selama ini pake black Opera terus.. semoga yg ini wanginya tahan lama juga kayak black Opera di aku..",0,0,0,0,original
"Terus terang, Produknya oke banget, wangi segar dan tahan sampai malam. Untuk Pengiriman mengecewakan, tracking tidak update berhari-hari. Untuk Biasa aja, mungkin beli lagi mungkin tidak GBU!",0,2,1,2,synthetic
"Pengalaman saya: Puas dan akan kembali berbelanja di sini. Untuk Harga sesuai kualitas, tidak mengecewakan Terima kasih.",2,0,0,0,synthetic
"Aroma:wanginya fresh! ini parfum cocok banget dipake pas siang, baunya fresh enak dan kaya abis mandi gt. tp buat aku yg suka parfum manis ini aga kurang sih baunya karna bukan my type ajaa. tp enak! dan menurutku splnya biasa aja cuman wanginya lumayan tahan lama sekitar 4 jam aja sih",0,0,0,0,original
"Menurut saya, Kualitas parfumnya biasa aja sih, standar. Oh ya, Lumayan cepat, packaging oke lah. Oh ya, Harga cukup, tidak berlebihan",2,2,2,2,synthetic
"Kegunaan:2-5 jam Pengiriman cepat, packing aman dan rapih, kualitas produk sangat baik, wangi fresh frutty tapi juga ada wangi bunganya, cocok dipake buat siang hari",0,0,0,0,original
"Harus dibilang, Puas banget, langsung repeat order. FYI, Kualitas bagus banget, beda sama parfum abal-abal. FYI, Pengiriman lama banget, sudah expired estimasinya Semoga berguna.",0,0,1,0,synthetic
"Menurut saya, Oke-oke aja, standar. Dari segi Harga lumayan, sesuai pasaran. Dari segi Parfumnya palsu kayaknya, wanginya beda jauh dari asli. Dari segi Pengiriman buruk, packing tidak standar Sekian review dari saya.",1,2,1,2,synthetic
Packingan nya bagus bgt rapi cantik Aroma nya enak bgt khas bgt emg sih awal disemprot agak kurang suka baunya eh lama2 jadi nagih kayak parfum mahal elegant gitu loh suka bgttt ??,0,1,0,0,original
"Performa:bagus Tekstur:cair Wanginya lembut fresh, gak manis samasekali. Pertama dispray wanginya agak tajem tapi pas udh meresap dikulit enak banget wanginya :’ awet 8jam (tapi bukan yg semerbak) dipake ditangan dari jam setengah1 jam 10malem masih ada wanginya ditangan. Sukak :’) Oh ini tulisannya po tapi ternyata sampe 3hari setelah pesan, terharu abis wkwk",0,0,0,0,original
"Overall Nyesel banget beli ini, buang-buang uang. Oh ya, Pengiriman tidak memuaskan, perlu perbaikan. Oh ya, Tidak worth it, harga segitu harusnya dapat yang lebih bagus. Oh ya, Kualitas kelas atas, wanginya soft dan feminin GBU!",0,1,1,1,synthetic
"Jujur aja, Pembeli kecewa, tidak akan kembali berbelanja, Parfumnya sudah expired kayaknya, baunya tidak enak Tidak direkomendasikan.",1,1,2,1,synthetic
Baru minggu kemaren beli coconut drean dan dapet tester yang enchanted ini dan langsung jatuh cinta banget dan akhirnya langsung co galupa dikasih free lagi makasih minko,0,0,0,0,original
"Real review: Pengiriman sangat lama, hampir 2 minggu baru sampai. Oh ya, Biasa aja, mungkin beli lagi mungkin tidak. Oh ya, Parfumnya top markotop, aroma berkelas. Oh ya, Harga lumayan, sesuai pasaran GBU!",0,2,1,2,synthetic
"real review: packing super aman, dikemas dengan bubble wrap tebal. oh ya, sangat puas dengan pembelian ini, akan beli lagi. oh ya, harga lumayan, sesuai pasaran. oh ya, parfumnya oke lah, cukup untuk pemakaian harian mantap pokoknya!",2,2,0,0,synthetic
"OVERALL KURIR LAMBAT DAN TIDAK RESPONSIF, KECEWA. TAPI TIDAK MEREKOMENDASIKAN, BANYAK YANG LEBIH BAIK MANTAP POKOKNYA!",1,1,1,1,synthetic
"Menurut saya, Pengiriman sangat cepat, packaging standar tinggi. Harga tidak sebanding dengan kualitas produk. Bahagia banget dapet produk ini, sukses buat Mykonos 5 bintang layak!",0,1,0,0,synthetic
"Aroma:floral soapy Tekstur:untuk semprotan pertama agak oily, setelah itu semprotan seterusnya cair Kegunaan:cocok di pakai di ruang ber ac dapet promo di live 11.11 sekitar 160an, barang sampai juga dalam waktu seminggu.",0,0,0,0,original
"Kepuasan 100%, tidak ada yang perlu dikeluhkan. Dari segi Harga kompetitif dibanding merek lain yang serupa. Dari segi Tidak perlu khawatir soal pengiriman, sangat aman. Dari segi Botol cantik dan elegan, parfumnya enak banget dipakai Semoga berguna.",0,0,0,0,synthetic
"LUMAYAN CEPAT, PACKAGING OKE LAH. UNTUK BIASA AJA, MUNGKIN BELI LAGI MUNGKIN TIDAK. UNTUK WANGINYA NETRAL, COCOK UNTUK SEMUA SUASANA. UNTUK HARGA BIASA SAJA UNTUK PARFUM LOKAL SEMOGA MEMBANTU.",2,2,2,2,synthetic
"Setelah dicoba: Pengiriman mantap, produk terlindungi dengan baik. Dari segi Aromanya mewah dan enak banget, beneran suka Semoga membantu.",0,0,0,0,synthetic
"Honest review: Tidak perlu khawatir soal pengiriman, sangat aman. Oh ya, Puas banget, langsung repeat order. Oh ya, Overpriced banget, ada yang lebih murah dengan kualitas sama. Oh ya, Aromanya mewah dan enak banget, beneran suka Recommended!",0,1,0,0,synthetic
"Aroma:aroma nya kalem enak bgt Tekstur:cair Kegunaan:parfum Nyoba decant punya doi terus memutuskan untuk bli yg 100 ml sbelum goib .. wangin nya enak bgt .. d pke d dlm ruangan tahan 2 hari wkwk.. dapet free decant yg aprhodate .. wangi rempah""nya stroong ... enak d pke buat motor"".. wangi nya tertinggal ..reastok bnyak"" ya min varian lainnya..",0,0,0,0,original
"Kegunaan:untuk wewangian Aroma:seger bgt Tekstur:cair Ga nyesel bgt beli aroma ini, dpet free tastes musik aura juga, d best bgt My konos fav wangi utopia dan enchanted",0,0,0,0,original
"menurut saya, kurir lambat dan tidak responsif, kecewa. btw kecewa total, tidak ada niat beli lagi. btw harga promo sangat membantu, bisa beli lebih semoga membantu.",1,0,1,1,synthetic
"Tekstur:cair Performa:belum dicoba pake lama, smoga tahan lama Cocok Untuk:days and night Unexpectedly wanginya enakkk bgttt???? Fruity floral yg memang aku suka dan lagi nyarii.. mirip sm parfum merk highend d*or yg lg aku cari tp hrganya mahal bgt lg hemat?? eh nemu ini dg hrga yg trjangkau bgtt.. my best buy bgt ini???? kmrn nge war beruntung bgt bs dapet.. nyampe nya cpt.. thank you!??",0,1,0,0,original
"aaa like it???? wangi nya fresh ga bikin eneg sama sekalii + dpt bonus edt ivory & tester vanilla clouds jugaa ? packing nya seperti biasaa bagus rapi & amann, thankss mykonos ??",0,0,0,0,original
"Jujur aja, Cost-effective banget, cocok untuk pemakaian rutin. Tapi Aroma parfumnya premium, seperti parfum mahal padahal terjangkau. Tapi Sangat puas dengan pembelian ini, akan beli lagi. Tapi Pengiriman memuaskan, kurir responsif Semoga membantu.",0,0,0,0,synthetic
Aroma:wangi dan tahan lama Tekstur:sesuai harapan Kegunaan:parfum cocok buat wanita karir ?? Pokoknya oke bgt.. Packingnya juga waw deeeh,0,0,0,0,original
"Terus terang, Puas banget, sudah beli 3 kali dan tetap puas. FYI, Pengiriman molor jauh dari estimasi, mengecewakan. FYI, Harga sesuai kualitas, tidak mengecewakan",0,0,1,0,synthetic
"Aroma:wanginya cocok bgt di aku Tekstur:cair wanginya beneran sesuai sama notes notes nya, enak bgt segerrr kayak abis mandi. buat ketahanannya belum tau smpe brp jam karna baru coba spray,",0,0,0,0,original
"Aroma:segar bunga Tekstur:cair not oily Kegunaan:make pas hangout Aromanya lembut seger, sebenarnya bingung mau dark secret yang 100ml atau ini, tapi takut DS nya aromanya strong n deep, krn dilihat dr packaging yg dark wkwk. al hasil beli DS yg travel size. Tapi pas sampe lebih suka yang DS wanginya. Krn lembut ayu anggun gitu wanginya ????. Tapi enchanted jg bagus utk nongki santai bareng bestie",0,0,0,0,original
"setelah dicoba: harga 200 ribuan tapi kualitas premium, mantap, sangat kecewa, tidak akan beli lagi",0,0,2,1,synthetic
"Cocok Untuk:daily Tekstur:cair Performa:bagus Seenak itu, dikasi tester secret product... omg !!!! Baunya eeenaaaakkkkk bgt !",0,0,0,0,original
"Kalau kata saya, Senang banget, beli ini keputusan terbaik. Untuk Pengiriman sangat lambat, sampai seminggu baru tiba",0,0,1,0,synthetic
"Harga promo Shopee bikin lebih hemat. Dan Puas banget, langsung repeat order. Dan Pengiriman kilat, sampai dalam kondisi baik. Dan Botol cantik dan elegan, parfumnya enak banget dipakai Semoga berguna.",0,0,0,0,synthetic
Wewangian:saya suka Tekstur:cair Daya tahan:dicoba Enak wanginy moga awetttt dan tahan wanginya,0,0,0,0,original
"Real review: Sampai tepat waktu, packing cukup memadai. Sedangkan Aromanya mewah dan enak banget, beneran suka. Sedangkan Ekonomis banget, tidak menguras kantong Terima kasih.",0,0,2,2,synthetic
"barang datang dalam kondisi rusak, packaging tidak aman. btw wanginya terlalu menyengat dan bikin pusing. btw harga promo shopee bikin lebih hemat",1,0,1,1,synthetic
"Sampai dalam kondisi mulus, pengiriman tepat waktu. FYI, Harga tidak sesuai dengan kualitas yang didapat",2,1,0,2,synthetic
Yg cari dupe miss dordor blooming bouquet ini mirip bgt endul wangi nya,0,0,0,0,original
"Harga 200 ribuan tapi kualitas premium, mantap. Soal Packing super aman, dikemas dengan bubble wrap tebal. Soal Cukup memuaskan, tidak lebih tidak kurang. Soal Kualitas bagus banget, beda sama parfum abal-abal Mantap pokoknya!",0,0,0,2,synthetic
"Aroma:wanginya lembut Tekstur:lembut Sebagus dan secantik itu, mulai dari kotaknya, parfumnya. Ga nyesel beli deh. Aku juga dikasih tester parfum yang lain, hihihi. Seneng banget, thank Mykonos????",0,0,0,1,original
"Menurut saya, Harganya kemahalan, harusnya bisa lebih murah. Tapi Packing jelek banget, parfum sampai dalam kondisi pecah. Tapi Aroma parfumnya premium, seperti parfum mahal padahal terjangkau Terima kasih.",0,1,1,1,synthetic
"Packingan aman dan rapih. Wanginya musk bngt. Seger dan fresh. Ketahanan, belum tau karena blm coba dipakai seharian, hanya baru test wanginya aja. Secara keseluruhan, keren...... ??????",0,0,0,0,original
"Tidak akan rekomendasikan ke siapapun, Sangat worth it, harga tidak tipu, Aromanya benar-benar enak, kualitas tidak perlu diragukan",0,0,1,1,synthetic
Aroma:aroma nya kalem cocok bgt buat aku yg gak suka wangi parfum. Walaupin pas awal agk strong dikit. Tp lama” enak kok baunya Pakcagingnya jga lucu. Buat kado juga cocok,0,0,0,0,original
"Setelah dicoba: Sangat satisfied, produk terbaik pilihanku. Btw Ekonomis banget, tidak menguras kantong. Btw Wangi parfumnya juara banget, tidak mengecewakan. Btw Tiba lebih cepat dari estimasi, packing sangat baik Semoga membantu.",0,0,0,0,synthetic
"Paling seneng kalo belanja, selain kualitasnya bagus packingnya juga rapi banget ?? Parfumenya juga wanginya enak-enak semua, packagingnya juga mewah banget .. Dikasih tester juga! Makasih ya ka ??",0,0,0,0,original
"Beneran worth it banget, kualitas parfum sangat bagus. Untuk Sangat tidak puas, komplain tapi tidak direspons. Untuk Parfum bocor karena packing tidak rapat. Untuk Worth it banget, harga murah tapi kualitas oke Semoga review ini bermanfaat!",0,0,1,1,synthetic
